ACC_NUM,NAME,COLL_NUM,COUNTRY_FULL,LOCALITY,HumanLocality,LAT_DEGREE,LAT_DIR,LONG_DEGREE,LONG_DIR,HumanLat,HumanLong
2002-0597,Buxus hyrcana,AGRU-04,Azerbaijan,"near a road leading to the Hyrcean Nature Preserve, Lenkoran, Azerbaijan",“Hyrcan nature Preserve” also ”Hirkan National Park”,,,,,38.543332,48.825302
2002-0600,Buxus hyrcana,AGRU-07,Azerbaijan,"near a road leading to the Hyrcean Nature Preserve, Lenkoran, Azerbaijan",,,,,,38.543332,48.825302
2002-0610,Buxus hyrcana,AGRU-20,Azerbaijan,"in Astara, Azerbaijan in the hills north and west",,,,,,38.33863,48.43843
2002-0615,Buxus sempervirens,AGRU-25,Georgia,"Bodbe, near Signakhi, Georgia on a slope in a monastery near the steps leading to the nuns living quarters",,,,,,41.6086375,45.9307909
2002-0616,Buxus sempervirens,AGRU-26,Georgia,"Bodbe, near Signakhi, Georgia in a monastery in an allee running through the monastery's vegetable garden",,,,,,41.6086375,45.9307909
2002-0617,Buxus sempervirens,AGRU-27,Georgia,"Bodbe, near Signakhi, Georgia in a monastery in an allee running through the monastery's vegetable garden",,,,,,41.6086375,45.9307909
2002-0619,Buxus sempervirens,AGRU-32,Georgia,"near a villagae in Dandal, Adjara. Georgia near a 12th century stone bridge","“Dandal” unfound, Adjara is a state",,,,,41.6501661,42.0602518
2002-0632,Buxus sempervirens,AGRU-59,Georgia,"at the Sharaula gorge, near village Nikortsminda, at the hydropower station, Racha, Georgia, 5m away from the river",,,,,,42.4545024,43.0818693
2002-0644,Buxus sempervirens,AGRU-71,Russian Federation,"in Sochi Dendrarium, Russia on a slope below Japanese Garden",,,,,,43.5712976,39.7427223
2002-0645,Buxus sempervirens,AGRU-72,Russian Federation,"in Sochi Dendrarium, Russia, in a hege near a large, semi-circular arbor in lower part of Dendrarium",Dendrarium is some sort of botanical garden,,,,,43.5712976,39.7427223
2002-0647,Buxus sempervirens,AGRU-74,Russian Federation,"in Vorontsov Park in Alupka, near Ylata, Ukraine",“Yalta” ”Vorontsov Palace”- actually in Crimea,,,,,44.4198544,34.0506307
2002-0648,Buxus balearica,AGRU-75,Ukraine,"in Livadiya Park in Yalta, Ukraine, in front of the palace where Stalin-Churchil-Roosevelt meeting took place",,,,,,44.4679265,34.1435889
2002-0649,Buxus sempervirens,AGRU-76,Ukraine,"in Vorontsov Park in Alupka, near Yalta, Ukraine",,,,,,44.4198544,34.0506307
2002-0650,Buxus sempervirens,AGRU-78,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, in a hedge surrounding a building near entrance",“Nikitsky”,,,,,44.5106284,34.23185
2002-0651,Buxus sempervirens,AGRU-79,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, in a hedge though same plant found in other locations in garden",“Nikitsky”,,,,,44.5106284,34.23185
2002-0652,Buxus sempervirens,AGRU-80,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, this plant on the oppostie side of the path from AGRU-79",“Nikitsky”,,,,,44.5106284,34.23185
