ACC_NUM,NAME,COLL_NUM,COUNTRY_FULL,LOCALITY,LAT_DEGREE,LAT_DIR,LONG_DEGREE,LONG_DIR
2002-0597,Buxus hyrcana,AGRU-04,Azerbaijan,"near a road leading to the Hyrcean Nature Preserve, Lenkoran, Azerbaijan",,,,
2002-0600,Buxus hyrcana,AGRU-07,Azerbaijan,"near a road leading to the Hyrcean Nature Preserve, Lenkoran, Azerbaijan",,,,
2002-0610,Buxus hyrcana,AGRU-20,Azerbaijan,"in Astara, Azerbaijan in the hills north and west",,,,
2002-0615,Buxus sempervirens,AGRU-25,Georgia,"Bodbe, near Signakhi, Georgia on a slope in a monastery near the steps leading to the nuns living quarters",,,,
2002-0616,Buxus sempervirens,AGRU-26,Georgia,"Bodbe, near Signakhi, Georgia in a monastery in an allee running through the monastery's vegetable garden",,,,
2002-0617,Buxus sempervirens,AGRU-27,Georgia,"Bodbe, near Signakhi, Georgia in a monastery in an allee running through the monastery's vegetable garden",,,,
2002-0619,Buxus sempervirens,AGRU-32,Georgia,"near a villagae in Dandal, Adjara. Georgia near a 12th century stone bridge",,,,
2002-0632,Buxus sempervirens,AGRU-59,Georgia,"at the Sharaula gorge, near village Nikortsminda, at the hydropower station, Racha, Georgia, 5m away from the river",,,,
2002-0644,Buxus sempervirens,AGRU-71,Russian Federation,"in Sochi Dendrarium, Russia on a slope below Japanese Garden",,,,
2002-0645,Buxus sempervirens,AGRU-72,Russian Federation,"in Sochi Dendrarium, Russia, in a hege near a large, semi-circular arbor in lower part of Dendrarium",,,,
2002-0647,Buxus sempervirens,AGRU-74,Russian Federation,"in Vorontsov Park in Alupka, near Ylata, Ukraine",,,,
2002-0648,Buxus balearica,AGRU-75,Ukraine,"in Livadiya Park in Yalta, Ukraine, in front of the palace where Stalin-Churchil-Roosevelt meeting took place",,,,
2002-0649,Buxus sempervirens,AGRU-76,Ukraine,"in Vorontsov Park in Alupka, near Yalta, Ukraine",,,,
2002-0650,Buxus sempervirens,AGRU-78,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, in a hedge surrounding a building near entrance",,,,
2002-0651,Buxus sempervirens,AGRU-79,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, in a hedge though same plant found in other locations in garden",,,,
2002-0652,Buxus sempervirens,AGRU-80,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, this plant on the oppostie side of the path from AGRU-79",,,,
2002-0654,Buxus sempervirens,AGRU-82,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, this plant a young solitary specimen",,,,
2002-0655,Buxus sempervirens,AGRU-83,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, growing in a low hedge",,,,
2002-0656,Buxus sempervirens,AGRU-84,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, this plant grown as a hedge in many parts of garden",,,,
2002-0657,Buxus sempervirens,AGRU-85,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, in a hedge of mostly AGRU-84",,,,
2002-0658,Buxus sempervirens,AGRU-86,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine, plant gowing under a large yew tree",,,,
2002-0659,Buxus sempervirens,AGRU-87,Ukraine,"in Nikita Botanical Garden in Yalta, Ukraine",,,,
1997-1035,Buxus sempervirens,AL 035,Albania,"Kampi I Llogora, Camp of Llogora, Llogora National Park",40.21444,N,19.57694,E
2001-1280,Buxus sempervirens,GB-1,Georgia,"Church of Saint George, near Navdaraant Kari",,,,
2001-1287,Buxus sempervirens,GB-10,Georgia,Shiogvime Monastery near Mtskheta,,,,
2001-1289,Buxus sempervirens,GB-12,Georgia,Tbilisi Botanical Garden,,,,
2001-1291,Buxus sempervirens,GB-15,Georgia,Kvatakhevi Monastery near Tsinarekhi village,,,,
2001-1292,Buxus sempervirens,GB-17,Georgia,research station of the Vashlovani Nature Reserve,,,,
2001-1294,Buxus sempervirens,GB-19,Georgia,Kasristskali village naer the Vashlovani Nature Reserve,,,,
2001-1281,Buxus sempervirens,GB-2,Georgia,"Church of Saint George, near Navdaraant Kari",,,,
2001-1295,Buxus sempervirens,GB-20,Georgia,Kasristskali village naer the Vashlovani Nature Reserve,,,,
2001-1299,Buxus sempervirens,GB-24,Georgia,Lagodekhi Nature Reserve headquarters,,,,
2001-1300,Buxus sempervirens,GB-25,Georgia,Abano Health Resort near Shilda,,,,
2001-1301,Buxus sempervirens,GB-26,Georgia,Abano Health Resort near Shilda,,,,
2001-1302,Buxus sempervirens,GB-27,Georgia,Abano Health Resort near Shilda,,,,
2001-1303,Buxus sempervirens,GB-28,Georgia,Abano Health Resort near Shilda,,,,
